number of iterations = 10000000
number of buckets; meanJumpHash; varianceJumpHash; meanJumpBackHash; varianceJumpBackHash; meanJumpBackHash32; varianceJumpBackHash32
1; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0
2; 1.5002498; 0.2499999375999602; 1.0; 0.0; 2.0; 0.0
3; 1.8335016; 0.4720566827974402; 1.2666827; 0.23106243752070998; 2.3334204; 0.4447946368638398
4; 2.0835545; 0.66000514552975; 1.0; 0.0; 2.0; 0.0
5; 2.2832295; 0.8199531503297495; 1.4362206; 0.3886961881356399; 2.5995404; 0.9601977087678399
6; 2.4502667; 0.959446998871111; 1.2664826; 0.23100442389723996; 2.3327117; 0.44309422468311066
7; 2.5925298; 1.0810100361119606; 1.1270029; 0.11493176339159028; 2.1430126; 0.16373239624123936
8; 2.7178454; 1.1904669816988402; 1.0; 0.0; 2.0; 0.0
9; 2.8291421; 1.2896754780075899; 1.541009; 0.5039652619189998; 2.7771005; 1.3803125128997493
10; 2.9284006; 1.379099125919641; 1.4367571; 0.38934753559959034; 2.5997924; 0.9605556769022394
11; 3.0193882; 1.4606616977007612; 1.3467573; 0.30164147489671; 2.4548779; 0.6609835960915893
12; 3.1033592; 1.5380692757753618; 1.266554; 0.23105636508400007; 2.3335239; 0.44420370812879106
13; 3.1804421; 1.6098207485475893; 1.1942564; 0.17064885105903982; 2.2304786; 0.2836888149420389
14; 3.2517377; 1.6747430303987105; 1.1269391; 0.11486536489119015; 2.1428558; 0.1633676204063601
15; 3.3176531; 1.7385920080603903; 1.0627617; 0.059313469013109854; 2.0665605; 0.07104199983974979
16; 3.3808176; 1.7954447555302409; 1.0; 0.0; 2.0; 0.0
17; 3.4385801; 1.851215995883992; 1.6009653; 0.57856120819591; 2.8824036; 1.6608794867070404
18; 3.4950823; 1.9044928162267105; 1.5410158; 0.5044319041503602; 2.7788061; 1.384666558602789
19; 3.5477126; 1.9542677078012396; 1.48668; 0.4423303775999998; 2.6839704; 1.1524598919238382
20; 3.5972281; 2.0012382965703885; 1.4363882; 0.3884701389007601; 2.5993235; 0.9594282423477489
21; 3.6448875; 2.046794012343751; 1.3897435; 0.34231990420775005; 2.5237702; 0.7970905775919599
22; 3.6899756; 2.0916812714046404; 1.3465826; 0.30176070137723987; 2.4542757; 0.6609040883895094
23; 3.7345654; 2.13089127312284; 1.3053376; 0.26452115002623966; 2.3912479; 0.544358780745589
24; 3.7768795; 2.1737417424797503; 1.2667777; 0.23111135878271005; 2.3333228; 0.44451631100016087
25; 3.8161383; 2.209781775273111; 1.2297586; 0.20012018572603996; 2.2802846; 0.3589431430028407
26; 3.8537285; 2.247521148287749; 1.1941937; 0.17062070688030984; 2.2305952; 0.2834188537369604
27; 3.8919549; 2.283498356365989; 1.1601372; 0.14247507717615981; 2.1848594; 0.21911380223163945
28; 3.926907; 2.3167400133510014; 1.1269706; 0.11489106673563998; 2.1429387; 0.16335302804230878
29; 3.9619308; 2.3506979360113576; 1.0948387; 0.08748572098231011; 2.1034225; 0.11412708649374892
30; 3.9948947; 2.381369835911908; 1.0627226; 0.05928487544923988; 2.0666101; 0.07099219457798878
31; 4.0273645; 2.4134026841397507; 1.0313032; 0.030383309669760106; 2.0323268; 0.033343378001760016
32; 4.058192; 2.441104691136001; 1.0; 0.0; 2.0; 0.0
33; 4.0884453; 2.4747585289079126; 1.6324198; 0.6199779965679597; 2.9398793; 1.8238412014315113
34; 4.1181743; 2.5006787348195125; 1.6012501; 0.5787298172499904; 2.8827079; 1.6628824632775885
35; 4.1463847; 2.531592019605913; 1.5701759; 0.5399875430591901; 2.8279547; 1.5134387147479114
36; 4.1746542; 2.556206910422361; 1.5412283; 0.5043370272791101; 2.7783726; 1.3836030955692395
37; 4.2012642; 2.584066521798359; 1.5135941; 0.4722978004451899; 2.7299352; 1.2631068038009605
38; 4.2273527; 2.6088512498027114; 1.4865221; 0.4424455462115904; 2.6841734; 1.1531597587324391
39; 4.2536456; 2.6320605096006453; 1.4611047; 0.41469495563791003; 2.6411515; 1.0533234540477503
40; 4.2790302; 2.6586969474879574; 1.4363209; 0.38855957222319004; 2.5999619; 0.9594036185483912
41; 4.3030611; 2.680704869666794; 1.4127756; 0.3645015040446402; 2.561219; 0.8754308340390011
42; 4.3269149; 2.704588548157986; 1.3900204; 0.34230128758384004; 2.5237548; 0.798245909476961
43; 4.3506662; 2.7289726161775576; 1.3677116; 0.3213449792254399; 2.4882285; 0.7269334317877503
44; 4.3725692; 2.7486819912113596; 1.3462151; 0.3010286045319901; 2.4545281; 0.6613335063103891
45; 4.3954262; 2.7714899203535595; 1.3257278; 0.28273740030716055; 2.4224621; 0.6009410740635888
46; 4.415991; 2.793429487918999; 1.3051866; 0.2643465391804398; 2.3909892; 0.5437012454833603
47; 4.4381415; 2.8132899259777453; 1.2856306; 0.2475119603436402; 2.361702; 0.4930050631959997
48; 4.4585067; 2.8335601060551063; 1.2666338; 0.2311312166975601; 2.333277; 0.4444914412710004
49; 4.4787582; 2.854448185932764; 1.2480003; 0.2152661511999101; 2.3061207; 0.3999002170315098
50; 4.5004068; 2.8753744345137555; 1.2295207; 0.19980014827151016; 2.2799842; 0.3582548477503602
51; 4.5182053; 2.891769167051912; 1.2118741; 0.1851756657491901; 2.2545915; 0.31968186812775023
52; 4.5377598; 2.9121613975039615; 1.194422; 0.1707216859159999; 2.2307082; 0.28353732645275986
53; 4.5567728; 2.930205849180158; 1.1770221; 0.15643007611159; 2.2074622; 0.2503066355711594
54; 4.5758538; 2.9485122010255616; 1.1600772; 0.1424506900401603; 2.1851074; 0.2195412504652392
